sl	movie_name	imdb_id	file_name	file_format	how_parsed	parse_status	file_location	attributes	CSM id
807	Starship Troopers	tt0120201	starship_troopers.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	eb2f3b8c-c774-4977-9d6e-1461c1fe62f3
808	State and Main	tt0120202	state_and_main.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	0386a295-5c6a-45ee-ab26-7f57ef8d8c34
809	Station West	tt0040835	station_west.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
810	Stepmom	tt0120686	stepmom.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	e9d38516-7539-48fe-806b-67caf5732906
811	Sting, The	tt0070735	sting_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	879ce888-8303-4296-bfb3-96d566d079de
812	Stir of Echoes	tt0164181	stir_of_echoes.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
813	Storytelling	tt0250081	storytelling.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
814	Strange Days	tt0114558	strange_days.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
815	Strangers on a Train	tt0044079	strangers_on_a_train.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d5a22db9-0fcb-4728-9642-332d41a195e7
816	Sugar	tt0990413	sugar.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
817	Sugar & Spice	tt0186589	sugar_and_spice.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/sugar-and-spice
818	Sunset Blvd.	tt0043014	sunset_blvd..txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/sunset-boulevard
819	Super 8	tt1650062	super_8.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	bd9af228-8654-4ec5-993a-fa8830fb95f5
820	Supergirl	tt0088206	supergirl.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	83e3ebec-c434-4e55-8b41-bbd887e406f3
821	Surfer King, The	tt0418206	surfer_king_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
822	Surrogates	tt0986263	surrogates.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	9a245518-7f04-408d-b9a3-b12fac09d982
823	Sweeney Todd	tt0408236	sweeney_todd_the_demon_barber_of_fleet_street.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	8f290bf9-873b-4303-827b-8d7c1029c9e1
824	Sweet Hereafter, The	tt0120255	sweet_hereafter_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
824	Sweet Hereafter, The	tt0120255	sweet_hereafter_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
825	Sweet Smell of Success	tt0051036	sweet_smell_of_success.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
826	Swingers	tt0117802	swingers.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	5ecba6f4-f23a-4bfa-ac69-bb1573e4a389
827	Swordfish	tt0244244	swordfish.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	051b8398-caf1-4408-b290-9fd8e2b3e52c
828	Synecdoche, New York	tt0383028	synecdoche_new_york.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
829	Syriana	tt0365737	syriana.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	13fb316b-acf5-4c75-b66d-3833da3ad57f
830	Take Shelter	tt1675192	take_shelter.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
831	Taking of Pelham 1 2 3, The	tt1111422	taking_of_pelham_one_two_three_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	c4a6e858-30ae-444b-8064-2bb6665831ba
832	Taking Sides	tt0260414	taking_sides.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
833	Talented Mr. Ripley, The	tt0134119	talented_mr._ripley_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	c26dd2dc-2bc8-4e51-b8c6-333e48d04be5
834	Tall in the Saddle	tt0037343	tall_in_the_saddle.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
835	Taxi Driver	tt0075314	taxi_driver.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	62c87714-2026-43a6-a5c5-2f5b106e25f6
836	Ted	tt1637725	ted.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	7a28dfa9-a3f8-42f4-b5d1-0f4671c4afc6
837	Terminator, The	tt0088247	terminator.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	587746af-c889-4919-a3c4-0c2b015df05a
838	Terminator 2	tt0103064	terminator_2_judgement_day.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	a4582ab6-9b11-4d80-bbc0-cb79eef83c14
839	Terminator Salvation	tt0438488	terminator_salvation.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	19c677e0-b7b4-4c5c-a915-31761ba82a84
840	Abyss, The	tt0096754	the_abyss.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	e8f5897c-615e-46b0-813c-3ea4ef604709
841	Adventures of Ford Fairlane, The	tt0098987	the_adventures_of_ford_fairlane_ford_fairlane.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
841	Adventures of Ford Fairlane, The	tt0098987	the_adventures_of_ford_fairlane_ford_fairlane.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
842	Anniversary Party, The	tt0254099	the_anniversary_party.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
842	Anniversary Party, The	tt0254099	the_anniversary_party.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
843	Apartment, The	tt0053604	the_apartment.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	637d9884-5c24-46dc-a9c8-1ec4770b10bd
844	Avengers, The	tt0118661	the_avengers.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
844	Avengers, The	tt0118661	the_avengers.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
845	battaglia di Algeri, La	tt0058946	the_battle_of_algiers.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
845	battaglia di Algeri, La	tt0058946	the_battle_of_algiers.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
846	Believer, The	tt0247199	the_believer.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
846	Believer, The	tt0247199	the_believer.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
847	Majestic, The	tt0268995	the_bijou.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	fcbb904d-b1a9-4251-9f24-d144f63b62e3
848	Birds, The	tt0056869	the_birds.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	c2a4902a-acc4-4300-891f-7451d014bccd
849	Body Snatcher, The	tt0037549	the_body_snatcher.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
850	Boondock Saints, The	tt0144117	the_boondock_saints.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
850	Boondock Saints, The	tt0144117	the_boondock_saints.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
851	Bourne Identity, The	tt0258463	the_bourne_identity.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	5fa9c2c7-5815-4c04-ba2e-edecae1f88f1
852	Cell, The	tt0209958	the_cell.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	313b59d8-cbe8-4ec3-8bb5-9f594522491a
853	Cider House Rules, The	tt0124315	the_cider_house_rules.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	7233fa0b-0cc8-4bb7-bf89-0b26e0711630
854	Crying Game, The	tt0104036	the_crying_game.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	f1578ed9-70ca-499a-95d0-6938a6575d49
