sl	movie_name	imdb_id	file_name	file_format	how_parsed	parse_status	file_location	attributes	CSM id
923	Twilight	tt1099212	twilight.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	9854ef78-4ae7-49cb-9b5d-b02df7540d4a
924	Twilight Saga	tt1259571	twilight_new_moon.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d5b943b5-bdcb-4745-b6d8-b0fb8c579388
925	Twin Peaks	tt0105665	twin_peaks.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
926	Twins	tt0096320	twins.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	b6f27047-24bd-475f-a85c-14c287c8b9ad
927	Two for the Money	tt0417217	two_for_the_money.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d54a81d6-3e35-4511-90c3-0b9d2fc448b7
928	U Turn	tt0120399	u_turn.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
929	singe en hiver, Un	tt0056636	un_singe_en_hiver.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
930	Unbreakable	tt0217869	unbreakable.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	e96d942d-d42c-416d-9e0a-4436551b3493
931	Under Fire	tt0086510	under_fire.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
932	Unforgiven	tt0105695	unforgiven.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	60816069-5c75-498a-9152-cce587974a52
933	Unknown	tt1401152	unknown.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	2718eb6f-d562-455a-af59-ac24f228c0f1
934	Up in the Air	tt1193138	up_in_the_air.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	cb17b0ee-16d7-42f7-bdb4-78bf9da66d16
935	V for Vendetta	tt0434409	v_for_vendetta.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	a8627c9b-d391-4ab2-8a3f-2c4485dbace7
936	Valkyrie	tt0985699	valkyrie.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d6668e54-f4df-496b-b323-2569dd796d11
937	Vanilla Sky	tt0259711	vanilla_sky.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	f429730c-e0f8-4968-8fab-191701aad74f
938	Verdict, The	tt0084855	verdict.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
938	Verdict, The	tt0084855	verdict.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
939	Verdict, The	tt0084855	verdict_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
939	Verdict, The	tt0084855	verdict_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
940	Vertigo	tt0052357	vertigo.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	b2314624-07e7-4712-9598-6eb4c43554e1
941	Very Bad Things	tt0124198	very_bad_things.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
942	Virtuosity	tt0114857	virtuosity.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
943	Visitor, The	tt0857191	visitor_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-visitor
944	Wag the Dog	tt0120885	wag_the_dog.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	367dce1e-58f9-44e6-81d4-ecbe4d81e0d5
945	Walk to Remember, A	tt0281358	walk_to_remember_a.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	351a2bb1-083a-4f02-8179-4b5269338487
946	Walking Tall	tt0351977	walking_tall.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	fbb953f7-4602-41c0-b67e-c4eb371dc183
947	Wall Street	tt1027718	wall_street_money_never_sleeps.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	c7017562-d6be-4173-8a16-b17ad4604d8e
948	WALLE	tt0910970	walle.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	3cd4c099-a93e-40e4-91bd-fcb593e093d2
949	Wanted	tt0493464	wanted.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	ed914a84-28d6-4172-acce-00a66aa84d0b
950	War Horse	tt1568911	war_horse.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	ebc21a44-3a76-4dbc-8251-82ae9c9a74bc
951	War of the Worlds	tt0407304	war_of_the_worlds.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	60e2c14f-781c-4de7-8242-636134c6b9e2
952	Warm Springs	tt0423510	warm_springs.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
953	Warrior	tt1291584	warrior.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	bf8784a2-372a-4d12-a23d-00180735ff5d
954	Watchmen	tt0409459	watchmen.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	f278b2ec-2a6a-4386-851c-997836b63186
955	Water for Elephants	tt1067583	water_for_elephants.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d2caf907-6a0a-4272-aeff-bcf926be1d03
956	We Own the Night	tt0498399	we_own_the_night.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	c5b7cfb1-9ba3-4803-8365-4d62c75b3bcb
957	What About Bob?	tt0103241	what_about_bob.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	f4a2ff27-de03-4c72-a59c-f403c80e62c5
958	What Lies Beneath	tt0161081	what_lies_beneath.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	e3011f1e-a67c-40f6-8c46-10dd40812a9c
959	When a Stranger Calls	tt0080130	when_a_stranger_calls.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d8ed9f9d-5be0-462b-be69-49053f69c21e
960	While She Was Out	tt0887971	while_she_was_out.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
961	Whistleblower, The	tt0896872	whistleblower_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	242f6f6f-67be-4b9e-a0c7-fca508906cbb
962	White Christmas	tt0047673	white_christmas.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	050d0d5f-6dde-41c4-92e8-44d0fed59011
963	White Squall	tt0118158	white_squall.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
964	Whiteout	tt0365929	whiteout.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	88761b47-6973-4d10-9818-93c79c8dcae2
965	Who Framed Roger Rabbit	tt0096438	who_framed_roger_rabbit.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	e18c52ee-75e6-4eb7-8640-548dceaf9172
966	Who Framed Roger Rabbit	tt0096438	who_framed_roger_rabbit_who_shot_roger_rabbit.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	e18c52ee-75e6-4eb7-8640-548dceaf9172
967	Wild at Heart	tt0100935	wild_at_heart.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	
968	Wild Bunch, The	tt0065214	wild_bunch_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	https://www.commonsensemedia.org/movie-reviews/the-wild-bunch
969	Wild Hogs	tt0486946	wild_hogs.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	1411dfb9-76f6-45c5-9bb8-f959f90692ee
970	Wild Things	tt0120890	wild_things.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	a89f1b54-6f1d-4176-aecb-99e48eaf6644
971	Wild Wild West	tt0120891	wild_wild_west.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	a67974d4-75f5-4b8b-9f41-f74c6c3a77b1
972	Willow	tt0096446	willow.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	2c262f13-ffb6-4b60-9ed2-79f0d28a0ba5
973	Witness	tt0090329	witness.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	b87d68fb-b2e0-48cc-8a1e-539f738c8031
974	Wizard of Oz, The	tt0032138	wizard_of_oz_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	998aa5ec-d3f0-4e52-8858-95a1b6a5d67a
975	Wolf of Wall Street, The	tt0993846	wolf_of_wall_street_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	93721786-749d-49f6-bd17-12d7f98211cc
976	Wonder Boys	tt0185014	wonder_boys.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	92a2d062-8383-46e2-9765-b34407b3a6ed
977	World Is Not Enough, The	tt0143145	world_is_not_enough_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	65d87d0d-dfd3-49fd-8e5f-0c06363d8c89
978	Wrestler, The	tt1125849	wrestler_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	218ae9ea-4028-481a-a7d5-70052a3e7c9a
979	X Files, The	tt0120902	xfiles_fight_the_future_the.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	8959a746-e6ac-4b3e-a437-cc8364d13f28
980	xXx	tt0295701	xxx.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	54cc1ec4-fa02-43aa-a302-e51010df98fa
981	Year One	tt1045778	year_one.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	0ab5dc1e-9ef2-415b-a21c-5d3c9887e39e
982	Yes Man	tt1068680	yes_man.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	e76fd8d1-b8bd-4df6-9891-77ea40e00d57
983	You Can Count on Me	tt0203230	you_can_count_on_me.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d501808d-2327-4c9e-a96f-f9b65f0aeafb
984	Youth in Revolt	tt0403702	youth_in_revolt.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	52a3e411-9d96-46af-9a80-619fd73b865d
985	You've Got Mail	tt0128853	youve_got_mail.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	d0d98347-9ab3-4d4a-8779-55b559d67d00
986	Zero Dark Thirty	tt1790885	zero_dark_thirty.txt	text	MICA Text pipeline	completed	avalon:/data/scripts	charname, utterance	4caebece-f4ad-4daa-bf74-28a27622138a
